"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"frs",2022,180226405000,4349768550,798564450,12325589087.4553,11944986866,28343757,22494571,184901505536.455,217434441000,179178895000,0.828876990099282,0.824059400046932,618430.16298012,38015971963,5194069003.50272
"frs",2023,184901505536.455,4830827802.86156,862276156.815984,5507626715.62496,12837589960.6571,19480327.4578443,0,183245165923.643,222066325277.722,184004238518.939,0.832640902690729,0.828600366529319,618430.16298012,39251491051.7975,5573920222.51028
"frs",2024,183245165923.643,5122916559.59274,864890176.117235,-43083979615.1808,13060171946.4406,25340713.8085049,0,133063480383.923,226770030109.992,187846667926.086,0.808066065144333,0.828357556044657,618430.16298012,40527164510.9809,5948518208.18372
"frs",2025,133063480383.923,5317851646.57785,877288071.232803,17449360783.0075,13280837726.597,29454003.6702786,0,143397689154.474,231598585373.791,159672552358.569,0.574543580087777,0.689436647900348,618430.16298012,41844297357.5878,6209170287.47154
"frs",2026,143397689154.474,7684549480.80542,891429384.952603,16957304750.9738,13866094173.4877,32955734.4737041,0,155031922863.244,236191729705.251,160574913386.476,0.607124090811406,0.679849855822051,618430.16298012,43204237021.7094,8640074971.8798
"frs",2027,155031922863.244,8137849206.79711,897349262.902403,17965287173.8064,14261032294.3856,40618247.4133649,0,167730757964.951,240677395873.98,163718828066.133,0.644148247907833,0.680241812786842,618430.16298012,44608374724.915,9182794223.90015
"frs",2028,167730757964.951,8488654034.99266,907715769.424885,10898750917.9093,14951963013.0083,24103206.1739198,0,173049812468.096,244797824377.924,168683250234.514,0.685180754327315,0.689071688701356,618430.16298012,46058146903.4747,9613264816.41161
"frs",2029,173049812468.096,8681269259.07611,905157800.147353,11350593663.1749,15285706004.8793,30782165.2733735,0,178670345020.342,248819468390.725,173860370367.284,0.695483410471535,0.69874102493567,618430.16298012,47555036677.8376,9917938338.76413
"frs",2030,178670345020.342,8922762637.25505,917156957.887048,11388420299.5203,15586231210.1119,36896535.792299,0,184275557169.1,252831446080.902,179359724650.532,0.706677700855176,0.709404338070902,618430.16298012,49100575369.8673,10241964132.1561
"frs",2031,184275557169.1,9230604601.17817,931431404.993659,11814759179.4641,16286916857.2233,37719776.4330614,0,189927715721.079,256434843879.764,184861334196.71,0.71860576503988,0.720890076402358,618430.16298012,50696344069.388,10630400748.619
"frs",2032,189927715721.079,9400332086.29926,933459611.606731,12096695541.9642,16773493008.1462,41017918.4791677,0,195543692034.324,259759455999.248,190424919356.222,0.731167668143059,0.733081760676206,618430.16298012,52343975251.6431,10916964550.6431
"frs",2033,195543692034.324,9647623027.64474,941372213.073371,12814592983.1101,17427722486.9929,43632025.1294931,0,201475925746.03,262650322678.882,195965114923.739,0.744502005708165,0.746106507408816,618430.16298012,54045154447.3215,11267962134.3049
"frs",2034,201475925746.03,9873858040.47862,938339691.399665,13292606097.1408,17706961651.1265,45693626.4638854,0,207828074297.459,265426690207.795,201832636949.315,0.759064303549503,0.760408219653062,618430.16298012,55801621966.8595,11626709367.8274
"frs",2035,207828074297.459,10145897925.9992,950484657.654038,13782392829.1065,17967583950.0094,47517440.2190357,0,214691748319.99,268156407044.629,208129557050.15,0.775025577751234,0.77614985725667,618430.16298012,57615174680.7824,12000724308.4267
"frs",2036,214691748319.99,10899943659.8326,965285363.341119,14008573790.2458,18652944016.823,47813975.6386815,0,221864793140.948,270410469238.377,214946124210.199,0.793947619427156,0.794888322244342,618430.16298012,59487667857.9078,12854526445.4397
"frs",2037,221864793140.948,11154712973.5812,962225650.826919,14510482115.0071,19047059971.9226,51101365.6931284,0,229394052542.747,272379223156.856,222078895314.735,0.814543747388477,0.81532979182794,618430.16298012,61421017063.2898,13258512139.5472
"frs",2038,229394052542.747,11459277385.3782,969069717.777554,15311727473.2526,19476196881.0955,53783980.1733139,0,237604146257.887,274061070728.51,229573724758,0.837018011835724,0.837673603725425,618430.16298012,63417200117.8468,13690077153.9194
"frs",2039,237604146257.887,11760087738.7755,969709352.117389,15925352866.8206,19605668185.1319,55016014.2446626,0,246598612016.224,275728564630.724,237754503243.712,0.861732068188525,0.862277376165688,618430.16298012,65478259121.6768,14136664158.7925
"frs",2040,246598612016.224,12097167008.8593,982449031.493008,13394016532.9863,19727138825.2217,56543863.2536741,0,253288561901.087,277429317716.576,246724044067.409,0.888870051823977,0.889322174376191,618430.16298012,67606302543.1313,14596546243.5222
"frs",2041,253288561901.087,9680728561.21495,998780406.129056,16768934303.5496,20141108474.4308,56858545.9968382,0,260539038151.553,278877935054.15,253391495277.868,0.908241671582607,0.908610769900698,618430.16298012,69803507375.783,12299342225.4868
"frs",2042,260539038151.553,9932755373.79122,999873000.118264,15047703587.3129,20282849682.2553,59519990.8559271,0,266177000439.664,280280922356.539,260622813893.319,0.929563938783271,0.929862837977199,618430.16298012,72072121365.496,12713045372.1481
"frs",2043,266177000439.664,7939544536.47426,1010931420.70414,17316993512.749,20329759314.8997,61806809.0943297,0,272052903785.598,281781985191.738,266243540677.347,0.944620360519303,0.944856501369958,618430.16298012,74414465309.8746,10860208932.3714
"frs",2044,272052903785.598,7673261312.95498,1021408955.92592,18184463047.2311,20209129039.6022,61973357.2942579,0,278660934704.813,283563024630.38,272104672995.859,0.959408950233248,0.959591517090578,618430.16298012,76832935432.4455,10740868911.0959
"frs",2045,278660934704.813,7922684542.86525,1039603485.4204,18049722529.5915,20148143322.9694,62932918.7349172,0,285461869020.986,285603583382.907,278700237715.374,0.975691311026776,0.975828924883349,618430.16298012,79330005834,11125460327.3845
"frs",2046,285461869020.986,8005405868.79037,1061349787.84447,14522352830.1697,20494221773.9733,63185691.3824011,0,288493570042.435,287512768577.558,285490425802.59,0.992866753129892,0.992966076654704,618430.16298012,81908231023.605,11340994779.0648
"frs",2047,288493570042.435,3833253231.21439,1073446826.15958,18543540906.3937,20421493486.9973,65957210.2162989,0,291456360308.989,289675708365.713,288511176844.558,0.99591909749717,0.9959798785762,618430.16298012,84570248531.8721,7340552731.68723
"frs",2048,291456360308.989,3373516608.90766,1096358787.15071,18736761076.4022,20245983423.8395,67997954.2641214,0,294349015403.346,292260039897.7,291464505790.358,0.997250121539049,0.997277992203035,618430.16298012,87318781609.158,7026473794.57027
