"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"frs",2022,180226405000,4349768550,798564450,11720082587.9043,11944986866,28343757,22494571,184295999036.904,217434441000,179178895000,0.828876990099282,0.824059400046932,618430.16298012,38015971963,5194069003.50272
"frs",2023,184295999036.904,4244640240.31839,862276156.815984,12423855842.6094,12837589960.6571,19480327.4578443,0,188969700988.533,204235080543.032,184520421777.867,0.902371906662104,0.903470751876971,618430.16298012,39251491051.7975,4987732659.96711
"frs",2024,188969700988.533,3397027518.86485,864890176.117235,13706730928.6342,13060171946.4406,25340713.8085049,0,193852836951.9,208730377596.919,189157919105.501,0.905329177114096,0.906230905550246,618430.16298012,40527164510.9809,4222629167.45582
"frs",2025,193852836951.9,3473325908.655,877288071.232803,13697833355.5164,13280837726.597,29454003.6702786,0,198590992557.037,213363383432.546,194009845288.296,0.908557193991001,0.909293066912912,618430.16298012,41844297357.5878,4364644549.54869
"frs",2026,198590992557.037,3554882708.2028,891429384.952603,14188908685.6737,13866094173.4877,32955734.4737041,0,203327163427.905,217772981614.509,198720893073.053,0.911917498142968,0.912513993240993,618430.16298012,43204237021.7094,4510408199.27718
"frs",2027,203327163427.905,3606907986.74421,897349262.902403,14277548477.7511,14261032294.3856,40618247.4133649,0,207807318613.504,222094825774.785,203433564295.92,0.915497075263195,0.915976153817339,618430.16298012,44608374724.915,4651853003.84725
"frs",2028,207807318613.504,3681436043.37989,907715769.424885,14894686273.218,14951963013.0083,24103206.1739198,0,212315090480.344,226066885256.778,207893190059.899,0.919229361600066,0.919609211334791,618430.16298012,46058146903.4747,4806046824.79884
"frs",2029,212315090480.344,3726973454.16013,905157800.147353,15309033514.4049,15285706004.8793,30782165.2733735,0,216939767078.904,229964074231.074,212383145307.43,0.923253300282916,0.923549237060491,618430.16298012,47555036677.8376,4963642533.84816
"frs",2030,216939767078.904,3808290713.65575,917156957.887048,15306378148.8563,15586231210.1119,36896535.792299,0,221348465153.399,233866218188.303,216992383918.451,0.92762335988274,0.927848346800279,618430.16298012,49100575369.8673,5127492208.55681
"frs",2031,221348465153.399,3952684404.17774,931431404.993659,15683599966.6991,16286916857.2233,37719776.4330614,0,225591544295.613,237371982305.286,221387510916.225,0.932496173321421,0.932660665198039,618430.16298012,50696344069.388,5352480551.61861
"frs",2032,225591544295.613,3961883957.68645,933459611.606731,15890362232.6201,16773493008.1462,41017918.4791677,0,229562739170.901,240619658696.754,225618659340.49,0.937544112220354,0.937656800622558,618430.16298012,52343975251.6431,5478516422.03024
"frs",2033,229562739170.901,4041657300.30933,941372213.073371,16526531035.1776,17427722486.9929,43632025.1294931,0,233600945207.339,243448282380.85,229579285118.048,0.942963067662041,0.943031032598927,618430.16298012,54045154447.3215,5661996406.96951
"frs",2034,233600945207.339,4103359856.78381,938339691.399665,16888398601.1423,17706961651.1265,45693626.4638854,0,237778388079.074,246183522320.224,233608280987.581,0.948889442338392,0.948919240353195,618430.16298012,55801621966.8595,5856211184.1326
"frs",2035,237778388079.074,4195843550.64762,950484657.654038,17276787914.2335,17967583950.0094,47517440.2190357,0,242186402811.381,248883306805.113,237777717524.135,0.955381022260627,0.95537832800625,618430.16298012,57615174680.7824,6050669933.07519
"frs",2036,242186402811.381,4786901420.71567,965285363.341119,17350209309.3433,18652944016.823,47813975.6386815,0,246588040912.319,251115171550.088,242178803530.057,0.964443531294461,0.964413269159053,618430.16298012,59487667857.9078,6741484206.32277
"frs",2037,246588040912.319,4862354289.26842,962225650.826919,17682051807.2107,19047059971.9226,51101365.6931284,0,250996511322.01,253079143637.275,246574306658.371,0.974351490874891,0.974297222262507,618430.16298012,61421017063.2898,6966153455.23436
"frs",2038,250996511322.01,4975520652.68448,969069717.777554,18301584006.8248,19476196881.0955,53783980.1733139,0,255712704838.028,254765721099.523,250977331883.231,0.985205192593232,0.985129909942584,618430.16298012,63417200117.8468,7206320421.22575
"frs",2039,255712704838.028,5083485893.16372,969709352.117389,18697936136.286,19605668185.1319,55016014.2446626,0,260803152020.218,256451267687.899,255688830555.285,0.997120065513694,0.997026970700952,618430.16298012,65478259121.6768,7460062313.18063
"frs",2040,260803152020.218,5213554420.59238,982449031.493008,15725886683.9866,19727138825.2217,56543863.2536741,0,262941359467.815,258175843717.4,260775250915.385,1.01017642961862,1.01006835945825,618430.16298012,67606302543.1313,7712933655.25531
"frs",2041,262941359467.815,2395889792.95269,998780406.129056,18987940735.5541,20141108474.4308,56858545.9968382,0,265126003382.023,259650862402.56,262908251319.077,1.01267277541391,1.01254526515482,618430.16298012,69803507375.783,5014503457.22452
"frs",2042,265126003382.023,2429316877.98081,999873000.118264,16741263775.8871,20282849682.2553,59519990.8559271,0,264954087362.898,261090687970.461,265088357580.951,1.01545560832877,1.01531142164267,618430.16298012,72072121365.496,5209606876.33765
"frs",2043,264954087362.898,36557355.5551918,1010931420.70414,18726727586.5512,20329759314.8997,61806809.0943297,0,264336737601.715,262632944980.405,264911220793.578,1.00883797111846,1.00867475256519,618430.16298012,74414465309.8746,2957221751.45235
