"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"frs",2022,180226405000,4349768550,798564450,12325589087.4553,11944986866,28343757,22494571,184901505536.455,217434441000,179178895000,0.828876990099282,0.824059400046932,618430.16298012,38015971963,5194069003.50272
"frs",2023,184901505536.455,4830827802.86156,862276156.815984,9136057289.25883,12837589960.6571,19480327.4578443,0,186873596497.277,222066325277.722,184004238518.939,0.832640902690729,0.828600366529319,618430.16298012,39251491051.7975,5573920222.51028
"frs",2024,186873596497.277,5122916559.59274,864890176.117235,9100706945.9287,13060171946.4406,25340713.8085049,0,188876597518.666,226770030109.992,188572354040.813,0.824066550622392,0.831557653140268,618430.16298012,40527164510.9809,5948518208.18372
"frs",2025,188876597518.666,5269234679.23204,877288071.232803,8875968429.43608,13280837726.597,29454003.6702786,0,190588796968.3,231598585373.791,192817676720.47,0.815534331584222,0.832551185100159,618430.16298012,41844297357.5878,6160553320.12573
"frs",2026,190588796968.3,5462321825.97191,891429384.952603,9133311133.46715,13866094173.4877,32955734.4737041,0,192176809404.73,236191729705.251,196468475279.543,0.80692409173742,0.831817758922892,618430.16298012,43204237021.7094,6417847317.04629
"frs",2027,192176809404.73,5654261688.2252,897349262.902403,8994451878.62491,14261032294.3856,40618247.4133649,0,193421221692.684,240677395873.98,199733119645.997,0.798483001309166,0.829879012612295,618430.16298012,44608374724.915,6699206705.32825
"frs",2028,193421221692.684,5905504376.49463,907715769.424885,9367690851.10696,14951963013.0083,24103206.1739198,0,194626066470.528,244797824377.924,202427394134.986,0.790126391785559,0.826916638860625,618430.16298012,46058146903.4747,7030115157.91358
"frs",2029,194626066470.528,6149149258.61089,905157800.147353,9550750346.30014,15285706004.8793,30782165.2733735,0,195914635705.434,248819468390.725,204886065584.829,0.782197903280236,0.823432615261011,618430.16298012,47555036677.8376,7385818338.29892
"frs",2030,195914635705.434,6466705975.04713,917156957.887048,9304704741.82963,15586231210.1119,36896535.792299,0,196980075634.293,252831446080.902,207261448576.933,0.774882391974074,0.819761354015325,618430.16298012,49100575369.8673,7785907469.94819
"frs",2031,196980075634.293,6873312769.12829,931431404.993659,9435085457.91595,16286916857.2233,37719776.4330614,0,197895268632.675,256434843879.764,209270140546.586,0.76814863633217,0.816075293748722,618430.16298012,50696344069.388,8273108916.56915
"frs",2032,197895268632.675,7162544719.85532,933459611.606731,9409894786.34113,16773493008.1462,41017918.4791677,0,198586656823.853,259759455999.248,211003584444.22,0.761840479960229,0.812303766315367,618430.16298012,52343975251.6431,8679177184.19912
"frs",2033,198586656823.853,7548407730.51534,941372213.073371,9808072402.80618,17427722486.9929,43632025.1294931,0,199413154658.125,262650322678.882,212404025193.093,0.756087617933926,0.808695085643506,618430.16298012,54045154447.3215,9168746837.17553
"frs",2034,199413154658.125,7930858238.89897,938339691.399665,9950496683.11879,17706961651.1265,45693626.4638854,0,200480193993.952,265426690207.795,213845864301.708,0.751292775048395,0.805668277497994,618430.16298012,55801621966.8595,9683709566.24775
"frs",2035,200480193993.952,8375574889.35875,950484657.654038,10087541347.5038,17967583950.0094,47517440.2190357,0,201878693498.24,268156407044.629,215450768770.758,0.747624105660793,0.803451877750214,618430.16298012,57615174680.7824,10230401271.7863
"frs",2036,201878693498.24,9317836600.20218,965285363.341119,9944863768.16139,18652944016.823,47813975.6386815,0,203405921237.483,270410469238.377,217324813453.657,0.746563896238339,0.803684909337134,618430.16298012,59487667857.9078,11272419385.8093
"frs",2037,203405921237.483,9775685763.34076,962225650.826919,10063296007.4934,19047059971.9226,51101365.6931284,0,205108967321.529,272379223156.856,219277390374.832,0.746774731493919,0.805044481122393,618430.16298012,61421017063.2898,11879484929.3067
"frs",2038,205108967321.529,10297721272.4547,969069717.777554,10463617638.4113,19476196881.0955,53783980.1733139,0,207309395088.903,274061070728.51,221364968502.889,0.748406064299126,0.807721315232608,618430.16298012,63417200117.8468,12528521040.9959
"frs",2039,207309395088.903,10830079657.3841,969709352.117389,10655317319.9666,19605668185.1319,55016014.2446626,0,210103817218.995,275728564630.724,223919627988.858,0.751860422464926,0.812101670672925,618430.16298012,65478259121.6768,13206656077.401
"frs",2040,210103817218.995,11412647728.0789,982449031.493008,7704741414.76249,19727138825.2217,56543863.2536741,0,210419972704.854,277429317716.576,227049675049.071,0.757323771504346,0.818405484026841,618430.16298012,67606302543.1313,13912026962.7418
"frs",2041,210419972704.854,9255706248.47225,998780406.129056,10667028960.9578,20141108474.4308,56858545.9968382,0,211143521299.986,278877935054.15,227672327596.393,0.75452356122759,0.816387024495807,618430.16298012,69803507375.783,11874319912.7441
"frs",2042,211143521299.986,9781164464.13882,999873000.118264,8533763504.50928,20282849682.2553,59519990.8559271,0,210115952595.641,280280922356.539,228664493625.997,0.753328194886537,0.815840377944518,618430.16298012,72072121365.496,12561454462.4957
"frs",2043,210115952595.641,8075081437.79676,1010931420.70414,10395880715.4141,20329759314.8997,61806809.0943297,0,209206280045.562,281781985191.738,227863770838.37,0.745668508413225,0.808652727332162,618430.16298012,74414465309.8746,10995745833.6939
"frs",2044,209206280045.562,8109335259.7023,1021408955.92592,10842250251.1001,20209129039.6022,61973357.2942579,0,208908172115.393,283563024630.38,227134922652.472,0.737777008544251,0.801003314690055,618430.16298012,76832935432.4455,11176942857.8432
"frs",2045,208908172115.393,8672328007.59854,1039603485.4204,10370282803.1055,20148143322.9694,62932918.7349172,0,208779310169.814,285603583382.907,226983311521.016,0.731462013329545,0.794749522511071,618430.16298012,79330005834,11875103792.1178
"frs",2046,208779310169.814,9176626275.07165,1061349787.84447,10700442994.7576,20494221773.9733,63185691.3824011,0,209160321762.132,287512768577.558,226976710864.765,0.726156654546959,0.789449150337602,618430.16298012,81908231023.605,12512215185.3461
"frs",2047,209160321762.132,9598445910.54815,1073446826.15958,10830740276.8188,20421493486.9973,65957210.2162989,0,210175504078.445,289675708365.713,227463881424.843,0.722049919001383,0.785236299958131,618430.16298012,84570248531.8721,13105745411.021
"frs",2048,210175504078.445,10002360424.2185,1096358787.15071,10588727718.5524,20245983423.8395,67997954.2641214,0,211548969630.263,292260039897.7,228579091240.479,0.719138696319935,0.782108602053461,618430.16298012,87318781609.158,13655317609.8811
"frs",2049,211548969630.263,10368400641.3896,1121109821.21266,10500295555.2405,20336202911.8698,68456906.6282981,0,213134115829.607,295027839587.933,230053860721.471,0.717047482453636,0.779770007612802,618430.16298012,90156642011.4556,14168800665.6587
"frs",2050,213134115829.607,10685715496.0438,1131265501.35447,10262610326.0848,20521679830.2062,70889620.3356286,0,214621137702.548,297863205590.829,231745142144.71,0.715543618107659,0.778025408291132,618430.16298012,93086732876.8279,14672065621.5776
"frs",2051,214621137702.548,10981700060.7179,1148211288.20397,10832506051.0213,21005559658.9927,73046894.9464965,0,216504948548.552,300479813771.801,233343099679.726,0.714261417459284,0.776568305040743,618430.16298012,96112051695.3248,15145239508.2661
"frs",2052,216504948548.552,11237911675.0801,1158578354.32065,0,20952913904.7243,77604179.6508527,0,207870920493.578,303394262155.613,235344045200.471,0.713609239048512,0.775703678534835,618430.16298012,99235693375.4229,15608240580.8938
