age,rate_set,retire_type,retire_rate
52,before_2011,early,0.0
53,before_2011,early,0.05
54,before_2011,early,0.05
55,before_2011,early,0.05
56,before_2011,early,0.05
57,before_2011,early,0.05
58,before_2011,early,0.05
59,before_2011,early,0.05
60,before_2011,early,0.07
61,before_2011,early,0.09
62,before_2011,early,0.2
63,before_2011,early,0.14
64,before_2011,early,0.14
65,before_2011,early,0.2
66,before_2011,early,0.25
67,before_2011,early,0.25
68,before_2011,early,0.25
69,before_2011,early,0.25
70,before_2011,early,1.0
71,before_2011,early,1.0
72,before_2011,early,1.0
73,before_2011,early,1.0
74,before_2011,early,1.0
75,before_2011,early,1.0
76,before_2011,early,1.0
77,before_2011,early,1.0
78,before_2011,early,1.0
79,before_2011,early,1.0
80,before_2011,early,1.0
45,before_2011,normal,0.17
46,before_2011,normal,0.17
47,before_2011,normal,0.17
48,before_2011,normal,0.195
49,before_2011,normal,0.195
50,before_2011,normal,0.195
51,before_2011,normal,0.1999999999999999
52,before_2011,normal,0.3249999999999999
53,before_2011,normal,0.3025
54,before_2011,normal,0.31875
55,before_2011,normal,0.40625
56,before_2011,normal,0.12
57,before_2011,normal,0.12
58,before_2011,normal,0.12
59,before_2011,normal,0.12
60,before_2011,normal,0.12
61,before_2011,normal,0.12
62,before_2011,normal,0.12
63,before_2011,normal,0.12
64,before_2011,normal,0.12
65,before_2011,normal,0.12
66,before_2011,normal,0.12
67,before_2011,normal,0.12
68,before_2011,normal,0.12
69,before_2011,normal,0.12
70,before_2011,normal,1.0
71,before_2011,normal,1.0
72,before_2011,normal,1.0
73,before_2011,normal,1.0
74,before_2011,normal,1.0
75,before_2011,normal,1.0
76,before_2011,normal,1.0
77,before_2011,normal,1.0
78,before_2011,normal,1.0
79,before_2011,normal,1.0
80,before_2011,normal,1.0
55,2011_or_later,early,0.0
56,2011_or_later,early,0.05
57,2011_or_later,early,0.05
58,2011_or_later,early,0.05
59,2011_or_later,early,0.05
60,2011_or_later,early,0.07
61,2011_or_later,early,0.09
62,2011_or_later,early,0.2
63,2011_or_later,early,0.14
64,2011_or_later,early,0.14
65,2011_or_later,early,0.2
66,2011_or_later,early,0.25
67,2011_or_later,early,0.25
68,2011_or_later,early,0.25
69,2011_or_later,early,0.25
70,2011_or_later,early,1.0
71,2011_or_later,early,1.0
72,2011_or_later,early,1.0
73,2011_or_later,early,1.0
74,2011_or_later,early,1.0
75,2011_or_later,early,1.0
76,2011_or_later,early,1.0
77,2011_or_later,early,1.0
78,2011_or_later,early,1.0
79,2011_or_later,early,1.0
80,2011_or_later,early,1.0
45,2011_or_later,normal,0.105
46,2011_or_later,normal,0.105
47,2011_or_later,normal,0.105
48,2011_or_later,normal,0.13
49,2011_or_later,normal,0.13
50,2011_or_later,normal,0.2
51,2011_or_later,normal,0.205
52,2011_or_later,normal,0.205
53,2011_or_later,normal,0.205
54,2011_or_later,normal,0.205
55,2011_or_later,normal,0.345
56,2011_or_later,normal,0.16
57,2011_or_later,normal,0.16
58,2011_or_later,normal,0.16
59,2011_or_later,normal,0.16
60,2011_or_later,normal,0.205
61,2011_or_later,normal,0.12
62,2011_or_later,normal,0.12
63,2011_or_later,normal,0.12
64,2011_or_later,normal,0.12
65,2011_or_later,normal,0.12
66,2011_or_later,normal,0.12
67,2011_or_later,normal,0.12
68,2011_or_later,normal,0.12
69,2011_or_later,normal,0.12
70,2011_or_later,normal,1.0
71,2011_or_later,normal,1.0
72,2011_or_later,normal,1.0
73,2011_or_later,normal,1.0
74,2011_or_later,normal,1.0
75,2011_or_later,normal,1.0
76,2011_or_later,normal,1.0
77,2011_or_later,normal,1.0
78,2011_or_later,normal,1.0
79,2011_or_later,normal,1.0
80,2011_or_later,normal,1.0
