age,rate_set,retire_type,retire_rate
52,before_2011,early,0.0
53,before_2011,early,0.0
54,before_2011,early,0.0
55,before_2011,early,0.0
56,before_2011,early,0.0
57,before_2011,early,0.0
58,before_2011,early,0.02
59,before_2011,early,0.035
60,before_2011,early,0.05
61,before_2011,early,0.05
62,before_2011,early,0.095
63,before_2011,early,0.08
64,before_2011,early,0.08
65,before_2011,early,0.14
66,before_2011,early,0.14
67,before_2011,early,0.14
68,before_2011,early,0.14
69,before_2011,early,0.14
70,before_2011,early,0.14
71,before_2011,early,0.14
72,before_2011,early,0.14
73,before_2011,early,0.14
74,before_2011,early,0.14
75,before_2011,early,0.14
76,before_2011,early,0.14
77,before_2011,early,0.14
78,before_2011,early,0.14
79,before_2011,early,0.14
80,before_2011,early,1.0
45,before_2011,normal,0.0
46,before_2011,normal,0.0
47,before_2011,normal,0.0
48,before_2011,normal,0.0775
49,before_2011,normal,0.1
50,before_2011,normal,0.1
51,before_2011,normal,0.105
52,before_2011,normal,0.11
53,before_2011,normal,0.12
54,before_2011,normal,0.125
55,before_2011,normal,0.135
56,before_2011,normal,0.15
57,before_2011,normal,0.3575
58,before_2011,normal,0.3675
59,before_2011,normal,0.375
60,before_2011,normal,0.385
61,before_2011,normal,0.43
62,before_2011,normal,0.44375
63,before_2011,normal,0.15125
64,before_2011,normal,0.15125
65,before_2011,normal,0.17375
66,before_2011,normal,0.18
67,before_2011,normal,0.18
68,before_2011,normal,0.18
69,before_2011,normal,0.18
70,before_2011,normal,0.18
71,before_2011,normal,0.18
72,before_2011,normal,0.18
73,before_2011,normal,0.18
74,before_2011,normal,0.18
75,before_2011,normal,0.18
76,before_2011,normal,0.18
77,before_2011,normal,0.18
78,before_2011,normal,0.18
79,before_2011,normal,0.18
80,before_2011,normal,1.0
55,2011_or_later,early,0.0
56,2011_or_later,early,0.0
57,2011_or_later,early,0.0
58,2011_or_later,early,0.0
59,2011_or_later,early,0.0
60,2011_or_later,early,0.0
61,2011_or_later,early,0.05
62,2011_or_later,early,0.05
63,2011_or_later,early,0.05
64,2011_or_later,early,0.05
65,2011_or_later,early,0.14
66,2011_or_later,early,0.14
67,2011_or_later,early,0.14
68,2011_or_later,early,0.14
69,2011_or_later,early,0.14
70,2011_or_later,early,0.14
71,2011_or_later,early,0.14
72,2011_or_later,early,0.14
73,2011_or_later,early,0.14
74,2011_or_later,early,0.14
75,2011_or_later,early,0.14
76,2011_or_later,early,0.14
77,2011_or_later,early,0.14
78,2011_or_later,early,0.14
79,2011_or_later,early,0.14
80,2011_or_later,early,1.0
45,2011_or_later,normal,0.0
46,2011_or_later,normal,0.0
47,2011_or_later,normal,0.0
48,2011_or_later,normal,0.045
49,2011_or_later,normal,0.0675
50,2011_or_later,normal,0.1
51,2011_or_later,normal,0.105
52,2011_or_later,normal,0.11
53,2011_or_later,normal,0.12
54,2011_or_later,normal,0.125
55,2011_or_later,normal,0.135
56,2011_or_later,normal,0.15
57,2011_or_later,normal,0.17
58,2011_or_later,normal,0.1725
59,2011_or_later,normal,0.1775
60,2011_or_later,normal,0.375
61,2011_or_later,normal,0.4275
62,2011_or_later,normal,0.4025
63,2011_or_later,normal,0.37125
64,2011_or_later,normal,0.34
65,2011_or_later,normal,0.3525
66,2011_or_later,normal,0.18
67,2011_or_later,normal,0.18
68,2011_or_later,normal,0.18
69,2011_or_later,normal,0.18
70,2011_or_later,normal,0.18
71,2011_or_later,normal,0.18
72,2011_or_later,normal,0.18
73,2011_or_later,normal,0.18
74,2011_or_later,normal,0.18
75,2011_or_later,normal,0.18
76,2011_or_later,normal,0.18
77,2011_or_later,normal,0.18
78,2011_or_later,normal,0.18
79,2011_or_later,normal,0.18
80,2011_or_later,normal,1.0
