age,rate_set,retire_type,retire_rate
52,before_2011,early,0.0
53,before_2011,early,0.0
54,before_2011,early,0.0
55,before_2011,early,0.0
56,before_2011,early,0.0
57,before_2011,early,0.0
58,before_2011,early,0.06
59,before_2011,early,0.06
60,before_2011,early,0.06
61,before_2011,early,0.06
62,before_2011,early,0.06
63,before_2011,early,0.11
64,before_2011,early,0.11
65,before_2011,early,0.11
66,before_2011,early,0.11
67,before_2011,early,0.11
68,before_2011,early,0.11
69,before_2011,early,0.11
70,before_2011,early,0.11
71,before_2011,early,0.11
72,before_2011,early,0.11
73,before_2011,early,0.11
74,before_2011,early,0.11
75,before_2011,early,0.11
76,before_2011,early,0.11
77,before_2011,early,0.11
78,before_2011,early,0.11
79,before_2011,early,0.11
80,before_2011,early,1.0
45,before_2011,normal,0.05
46,before_2011,normal,0.05
47,before_2011,normal,0.05
48,before_2011,normal,0.19
49,before_2011,normal,0.19
50,before_2011,normal,0.19
51,before_2011,normal,0.19
52,before_2011,normal,0.19
53,before_2011,normal,0.19
54,before_2011,normal,0.19
55,before_2011,normal,0.19
56,before_2011,normal,0.19
57,before_2011,normal,0.5800000000000001
58,before_2011,normal,0.65
59,before_2011,normal,0.65
60,before_2011,normal,0.65
61,before_2011,normal,0.65
62,before_2011,normal,0.53
63,before_2011,normal,0.06
64,before_2011,normal,0.06
65,before_2011,normal,0.06
66,before_2011,normal,0.06
67,before_2011,normal,0.06
68,before_2011,normal,0.06
69,before_2011,normal,0.06
70,before_2011,normal,0.06
71,before_2011,normal,0.06
72,before_2011,normal,0.06
73,before_2011,normal,0.06
74,before_2011,normal,0.06
75,before_2011,normal,0.06
76,before_2011,normal,0.06
77,before_2011,normal,0.06
78,before_2011,normal,0.06
79,before_2011,normal,0.06
80,before_2011,normal,1.0
55,2011_or_later,early,0.0
56,2011_or_later,early,0.0
57,2011_or_later,early,0.0
58,2011_or_later,early,0.0
59,2011_or_later,early,0.0
60,2011_or_later,early,0.0
61,2011_or_later,early,0.06
62,2011_or_later,early,0.06
63,2011_or_later,early,0.06
64,2011_or_later,early,0.06
65,2011_or_later,early,0.11
66,2011_or_later,early,0.11
67,2011_or_later,early,0.11
68,2011_or_later,early,0.11
69,2011_or_later,early,0.11
70,2011_or_later,early,0.11
71,2011_or_later,early,0.11
72,2011_or_later,early,0.11
73,2011_or_later,early,0.11
74,2011_or_later,early,0.11
75,2011_or_later,early,0.11
76,2011_or_later,early,0.11
77,2011_or_later,early,0.11
78,2011_or_later,early,0.11
79,2011_or_later,early,0.11
80,2011_or_later,early,1.0
45,2011_or_later,normal,0.05
46,2011_or_later,normal,0.05
47,2011_or_later,normal,0.05
48,2011_or_later,normal,0.16
49,2011_or_later,normal,0.16
50,2011_or_later,normal,0.19
51,2011_or_later,normal,0.19
52,2011_or_later,normal,0.19
53,2011_or_later,normal,0.19
54,2011_or_later,normal,0.19
55,2011_or_later,normal,0.19
56,2011_or_later,normal,0.19
57,2011_or_later,normal,0.19
58,2011_or_later,normal,0.19
59,2011_or_later,normal,0.19
60,2011_or_later,normal,0.5800000000000001
61,2011_or_later,normal,0.6
62,2011_or_later,normal,0.55
63,2011_or_later,normal,0.5
64,2011_or_later,normal,0.4499999999999999
65,2011_or_later,normal,0.4
66,2011_or_later,normal,0.06
67,2011_or_later,normal,0.06
68,2011_or_later,normal,0.06
69,2011_or_later,normal,0.06
70,2011_or_later,normal,0.06
71,2011_or_later,normal,0.06
72,2011_or_later,normal,0.06
73,2011_or_later,normal,0.06
74,2011_or_later,normal,0.06
75,2011_or_later,normal,0.06
76,2011_or_later,normal,0.06
77,2011_or_later,normal,0.06
78,2011_or_later,normal,0.06
79,2011_or_later,normal,0.06
80,2011_or_later,normal,1.0
