yos,salary_increase
0,0.0895
1,0.0545
2,0.0475
3,0.044500000000000005
4,0.0425
5,0.0415
6,0.0405
7,0.0395
8,0.039
9,0.0385
10,0.038
11,0.0375
12,0.037000000000000005
13,0.036000000000000004
14,0.0355
15,0.035
16,0.034
17,0.0335
18,0.033
19,0.0325
20,0.032
21,0.0315
22,0.031
23,0.0305
24,0.029500000000000002
25,0.029500000000000002
26,0.029500000000000002
27,0.029500000000000002
28,0.029500000000000002
29,0.029500000000000002
30,0.029500000000000002
31,0.029500000000000002
32,0.029500000000000002
33,0.029500000000000002
34,0.029500000000000002
35,0.029500000000000002
36,0.029500000000000002
37,0.029500000000000002
38,0.029500000000000002
39,0.029500000000000002
40,0.029500000000000002
41,0.029500000000000002
42,0.029500000000000002
43,0.029500000000000002
44,0.029500000000000002
45,0.029500000000000002
46,0.029500000000000002
47,0.029500000000000002
48,0.029500000000000002
49,0.029500000000000002
50,0.029500000000000002
51,0.029500000000000002
52,0.029500000000000002
53,0.029500000000000002
54,0.029500000000000002
55,0.029500000000000002
56,0.029500000000000002
57,0.029500000000000002
58,0.029500000000000002
59,0.029500000000000002
60,0.029500000000000002
61,0.029500000000000002
62,0.029500000000000002
63,0.029500000000000002
64,0.029500000000000002
65,0.029500000000000002
66,0.029500000000000002
67,0.029500000000000002
68,0.029500000000000002
69,0.029500000000000002
70,0.029500000000000002
