"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"txtrs",2024,210543258495,NA,NA,9519712628.37875,15258219146,744483839,84717041,219617936521.379,273095060051.155,212520440440,0.770952277407293,0.778192181141293,970082,61388248000,10720587115
"txtrs",2025,219617936521.379,6042699397.98672,5211401843.34,6270694431.75927,15677477712.7356,963154779.759397,88435910.0688,220413663791.901,282904893440.893,221044187252.078,0.776295997747609,0.781337447237408,970082,63168507192,6042699397.98672
"txtrs",2026,220413663791.901,6217937680.52833,5362532496.79686,-52145821008.1058,16185794970.4494,1011500764.27193,91000551.4607952,162560016674.938,293061982910.837,228169634167.324,0.752105959301316,0.778571249334458,970082,65000393900.568,6217937680.52833
"txtrs",2027,162560016674.938,6398257873.26365,5518045939.20397,18746439831.6013,16681189556.1189,824524320.326301,93639567.4531582,175623406875.109,303855317428.117,222230792992.744,0.534991515208204,0.731370426141438,970082,66885405323.6844,6398257873.26365
"txtrs",2028,175623406875.109,6583807351.5883,5678069271.44088,20343560236.2723,17397701880.5064,856649456.284361,96355114.9092998,189878137282.71,314882906678.942,217386935013.049,0.557741951531769,0.690373883123162,970082,68825082078.0713,6583807351.5883
"txtrs",2029,189878137282.71,6774737764.78436,5842733280.31267,22186906201.1826,18010535721.0438,952154273.108038,99149413.2416695,205620675121.596,326193046997.394,213908861253.791,0.582103570356689,0.655773822350971,970081.999999999,70821009458.3354,6774737764.78436
"txtrs",2030,205620675121.596,6971205159.96311,6012172545.44173,13666218033.384,18563689565.355,972520376.7782,102024746.225678,212632036172.026,337957921321.768,213682333654.871,0.608420936894762,0.632274967307025,970082,72874818732.6271,6971205159.96311
"txtrs",2031,212632036172.026,7173370109.60204,6186525549.25954,14299300583.6492,19349167846.2797,1042276451.34906,104983463.866223,219794804653.042,349929738668.944,212829397059.321,0.607642085467877,0.608206086938703,970082,74988188475.8733,7173370109.60204
"txtrs",2032,219794804653.042,7381397842.78049,6365934790.18807,14431263012.3278,20129080700.0003,974854662.996058,108027984.318343,226761436951.024,362279882785.488,219974527225.433,0.606698895238371,0.607194982879256,970082,77162845941.6736,7381397842.78049
"txtrs",2033,226761436951.024,7595458380.22113,6550546899.10353,15158447909.5875,21185482554.546,988320323.945286,111160795.863575,233780926465.581,374675587367.295,226920334819.877,0.605220741880707,0.605644836415313,970081.999999999,79400568473.9821,7595458380.22113
"txtrs",2034,233780926465.581,7815726673.24754,6740512759.17753,15664020563.7498,21926516908.7059,1074640295.20841,114384458.943619,240885644798.898,387352327737.656,233906205883.768,0.603535617898532,0.603859042876816,970081.999999999,81703184959.7276,7815726673.24754
"txtrs",2035,240885644798.898,8042382746.77172,6935987629.19367,15938635204.3173,22721185853.2139,1091411101.29184,117701608.252984,247872351816.422,400375084465.838,240895505109.267,0.60164993813308,0.60167456581535,970082,84072577323.5597,8042382746.77172
"txtrs",2036,247872351816.422,8275611846.4281,7137131270.44029,16554979441.0815,23679065407.4568,1159364118.41459,121114954.89232,254880529893.608,413556715072.993,247875862582.977,0.599367251895965,0.599375741098115,970082,86510682065.9429,8275611846.4281
"txtrs",2037,254880529893.608,8515604589.97451,7344108077.28306,16833776847.0501,24647347344.6548,1086583863.92775,124627288.584197,261715460910.749,427051175522.554,254878807158.289,0.596838375592171,0.596834341566701,970081.999999999,89019491845.8552,8515604589.97451
"txtrs",2038,261715460910.749,8762557123.08377,7557087211.52427,17608462450.8067,25679144333.8314,1152842908.12458,128241479.953139,268683338974.255,440682008778.397,261709032777.417,0.593887328498487,0.593872741714357,970082,91601057109.385,8762557123.08377
"txtrs",2039,268683338974.255,9016671279.6532,7776242740.65847,17966698095.3439,26407660623.2138,1227882945.70218,131960482.87178,275675447038.122,454755890582.272,268673067638.496,0.590829815596739,0.590807229114692,970081.999999999,94257487765.5572,9016671279.6532
"txtrs",2040,275675447038.122,9278154746.76315,8001753780.13757,18436067842.1957,27353919782.0016,1212894552.28519,135787336.875062,282688821736.057,469194410847.942,275662294364.815,0.587550577467267,0.587522545007792,970081.999999999,96990954910.7584,9278154746.76315
"txtrs",2041,282688821736.057,9547221234.41928,8233804639.76156,19057186080.469,28234546445.6921,1282054992.00237,139725169.644439,289870707083.368,484016549509.363,282673908177.71,0.584047843038864,0.584017030955348,970081.999999999,99803692603.1703,9547221234.41928
"txtrs",2042,289870707083.368,9824090650.21744,8472584974.31464,19466645716.3942,29122019447.5971,1217880283.21301,143777199.564127,297150351493.92,499382267877.486,289854948787.778,0.580458549950921,0.580426994373954,970081.999999998,102697999688.662,9824090650.21744
"txtrs",2043,297150351493.92,10108989279.0737,8718289938.56976,20309964123.8193,29973135833.7683,1284700041.57287,147946738.351487,304881812221.69,515242766147.64,297133881122.631,0.576719113818229,0.576687147583338,970081.999999999,105676241679.633,10108989279.0737
"txtrs",2044,304881812221.69,10402149968.1669,8971120346.78828,20413384009.7483,30498924054.4837,1356449994.08296,152237193.76368,312660855304.063,531965440548.326,304864883967.473,0.573123344079329,0.573091521985399,970081.999999999,108740852688.343,10402149968.1669
"txtrs",2045,312660855304.063,10703812317.2437,9231282836.84514,21040965201.486,31574920094.0462,1315064280.54687,156652072.382827,320590279212.662,549177643637.972,312643447775.01,0.569325534143875,0.569293836697239,970081.999999999,111894337416.305,10703812317.2437
"txtrs",2046,320590279212.662,11014222874.4438,9498990039.11365,21710827441.5013,32464040632.9845,1380559894.84389,161194982.481929,328808524057.411,567018835465.037,320572384339.728,0.565396172333026,0.565364612758961,970081.999999999,115139273201.378,11014222874.4438
"txtrs",2047,328808524057.411,11333635337.8026,9774460750.24794,22143862591.9404,33341361884.7176,1350829865.40467,165869636.973905,337202421350.305,585650216327.807,328790182146.915,0.56144182122758,0.561410502344766,970081.999999999,118478312124.218,11333635337.8026
"txtrs",2048,337202421350.305,11662310762.5989,10057920112.0051,23115405283.5557,34268556388.8994,1417291699.00387,170679856.446148,346181529564.116,604985244939.807,337183593017.827,0.557372967639657,0.557341845669931,970081.999999999,121914183175.82,11662310762.5989
"txtrs",2049,346181529564.116,12000517774.7143,10349599795.2533,23000437412.8416,34822660546.0672,1490407846.20938,175629572.283086,355043386582.365,625457155794.861,346162390508.876,0.553485600663041,0.553455000557082,970081.999999999,125449694487.919,12000517774.7143
"txtrs",2050,355043386582.365,12348532790.181,10649738189.3156,23717559988.2003,36237374657.9941,1439735103.80503,180722829.879296,363901384958.384,646400130222.067,355023726165.782,0.549262554233076,0.549232138990776,970081.999999998,129087735628.068,12348532790.181
"txtrs",2051,363901384958.384,12706640241.0963,10958580596.8058,24449602357.0274,37442723002.2312,1499521583.96706,185963791.945795,372887999775.169,667999634274.142,363881074302.445,0.544762850587192,0.544732445396985,970081.999999999,132831279961.282,12706640241.0963
"txtrs",2052,372887999775.169,13075132808.088,11276379434.1131,24944269742.4129,38563707794.0915,1534531557.55917,191356741.912223,381894185666.22,690417916529.326,372867005001.924,0.540090271193492,0.540059862403768,970082,136683387080.159,13075132808.088
"txtrs",2053,381894185666.22,13454311659.5226,11603394437.7024,25971680938.3494,39800423897.2298,1587678084.25365,196906087.427678,391338564632.884,713580732322.674,381872430310.194,0.535180069146727,0.535149581557809,970081.999999999,140647205305.484,13454311659.5226
"txtrs",2054,391338564632.884,13844486697.6488,11939892876.3958,0,40646379299.9142,1648531243.37252,202616363.96308,374625417299.679,737950195005.17,391316231225.641,0.530304846155833,0.530274582043981,970081.999999999,144725974259.343,13844486697.6488
