"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"txtrs",2024,210543258495,NA,NA,10559212216.6056,15258219146,744483839,84717041,220657436109.606,257194242367.048,212520440440,0.770952277407293,0.778192181141293,970082,61388248000,10720587115
"txtrs",2025,220657436109.606,6042699397.98672,5211401843.34,16106274801.3922,15677477712.7356,963154779.759397,88435910.0688,231288743749.761,266358507418.267,222091218997.161,0.828422708357889,0.83380561465757,970082,63168507192,6042699397.98672
"txtrs",2026,231288743749.761,6217937680.52833,5362532496.79686,17162170620.5783,16185794970.4494,1011500764.27193,91000551.4607952,242743088261.482,275847089281.201,232117481948.615,0.838467225999918,0.841471565110451,970082,65000393900.568,6217937680.52833
"txtrs",2027,242743088261.482,6398257873.26365,5518045939.20397,17575748118.4106,16681189556.1189,824524320.326301,93639567.4531582,254635786748.462,285949260384.911,242909759688.394,0.848902661733519,0.849485532368288,970082,66885405323.6844,6398257873.26365
"txtrs",2028,254635786748.462,6583807351.5883,5678069271.44088,18504850504.6054,17397701880.5064,856649456.284361,96355114.9092998,267051807424.397,296262702689.626,254747847443.873,0.85949322826244,0.859871475994585,970082,68825082078.0713,6583807351.5883
"txtrs",2029,267051807424.397,6774737764.78436,5842733280.31267,19573351342.0358,18010535721.0438,952154273.108038,99149413.2416695,280180790404.136,306834199026.692,267104113411.082,0.870345640321421,0.870516110193591,970081.999999999,70821009458.3354,6774737764.78436
"txtrs",2030,280180790404.136,6971205159.96311,6012172545.44173,20269102292.6442,18563689565.355,972520376.7782,102024746.225678,293795035713.826,317835143107.753,280199910589.711,0.881528668178612,0.881588825735098,970082,72874818732.6271,6971205159.96311
"txtrs",2031,293795035713.826,7173370109.60204,6186525549.25954,21431665929.556,19349167846.2797,1042276451.34906,104983463.866223,308090169540.749,329016701862.956,293801612310.113,0.892948698501631,0.892968687141263,970082,74988188475.8733,7173370109.60204
"txtrs",2032,308090169540.749,7381397842.78049,6365934790.18807,22132741758.1163,20129080700.0003,974854662.996058,108027984.318343,322758280584.519,340549233204.414,308091110280.438,0.904686134929038,0.904688897348088,970082,77162845941.6736,7381397842.78049
"txtrs",2033,322758280584.519,7595458380.22113,6550546899.10353,23471356002.5303,21185482554.546,988320323.945286,111160795.863575,338090678192.019,352097989638.511,322754040275.453,0.916671750713161,0.916659707733108,970081.999999999,79400568473.9821,7595458380.22113
"txtrs",2034,338090678192.019,7815726673.24754,6740512759.17753,24634546402.6022,21926516908.7059,1074640295.20841,114384458.943619,354165922364.188,363895735798.766,338082141714.264,0.929086672175194,0.929063213593752,970081.999999999,81703184959.7276,7815726673.24754
"txtrs",2035,354165922364.188,8042382746.77172,6935987629.19367,25616038034.3932,22721185853.2139,1091411101.29184,117701608.252984,370830032211.788,376006106023.274,354154265442.834,0.941915348423267,0.941884346476311,970082,84072577323.5597,8042382746.77172
"txtrs",2036,370830032211.788,8275611846.4281,7137131270.44029,26992029772.1355,23679065407.4568,1159364118.41459,121114954.89232,388275260620.028,388239793956.449,370816592023.924,0.955157194044324,0.955122575779857,970082,86510682065.9429,8275611846.4281
"txtrs",2037,388275260620.028,8515604589.97451,7344108077.28306,28087097670.7911,24647347344.6548,1086583863.92775,124627288.584197,406363512460.91,400748368455.649,388260715818.248,0.968875461967099,0.968839167866048,970081.999999999,89019491845.8552,8515604589.97451
"txtrs",2038,406363512460.91,8762557123.08377,7557087211.52427,29739150693.6434,25679144333.8314,1152842908.12458,128241479.953139,425462078767.253,413352444424.394,406347916613.603,0.983092075400168,0.983054345256031,970082,91601057109.385,8762557123.08377
"txtrs",2039,425462078767.253,9016671279.6532,7776242740.65847,31040945614.8686,26407660623.2138,1227882945.70218,131960482.87178,445528434350.645,426355951435.46,425445624426.19,0.997903459151449,0.997864866184688,970081.999999999,94257487765.5572,9016671279.6532
"txtrs",2040,445528434350.645,9278154746.76315,8001753780.13757,32524751860.2464,27353919782.0016,1212894552.28519,135787336.875062,466630493066.63,439678009662.278,445511207115.448,1.01330615714182,1.01326697566169,970081.999999999,96990954910.7584,9278154746.76315
"txtrs",2041,466630493066.63,9547221234.41928,8233804639.76156,34236835820.5791,28234546445.6921,1282054992.00237,139725169.644439,488992028154.051,453335006861.889,466612527400.629,1.02932817012473,1.02928854012544,970081.999999999,99803692603.1703,9547221234.41928
"txtrs",2042,488992028154.051,9824090650.21744,8472584974.31464,35819733518.1556,29122019447.5971,1217880283.21301,143777199.564127,512624760366.365,467484376624.881,488973421929.481,1.04600720923435,1.0459674084934,970081.999999998,102697999688.662,9824090650.21744
"txtrs",2043,512624760366.365,10108989279.0737,8718289938.56976,37925796939.6033,29973135833.7683,1284700041.57287,147946738.351487,537972053909.919,482074663346.831,512605523806.34,1.06337212747801,1.06333222378365,970081.999999999,105676241679.633,10108989279.0737
"txtrs",2044,537972053909.919,10402149968.1669,8971120346.78828,39387909617.0348,30498924054.4837,1356449994.08296,152237193.76368,564725622599.579,497471294873.867,537952381535.663,1.0814132583194,1.0813737135769,970081.999999999,108740852688.343,10402149968.1669
"txtrs",2045,564725622599.579,10703812317.2437,9231282836.84514,41476555601.7306,31574920094.0462,1315064280.54687,156652072.382827,593090636908.422,513299331820.919,564705435470.918,1.10018772203779,1.10014839385751,970081.999999999,111894337416.305,10703812317.2437
"txtrs",2046,593090636908.422,11014222874.4438,9498990039.11365,43718112913.187,32464040632.9845,1380559894.84389,161194982.481929,623316167224.856,529695353685.115,593069901778.491,1.11968253597519,1.11964339058758,970081.999999999,115139273201.378,11014222874.4438
"txtrs",2047,623316167224.856,11333635337.8026,9774460750.24794,45841853083.91,33341361884.7176,1350829865.40467,165869636.973905,655408055009.721,546818060931.002,623294921964.229,1.13989681716732,1.13985796464553,970081.999999999,118478312124.218,11333635337.8026
"txtrs",2048,655408055009.721,11662310762.5989,10057920112.0051,48632709036.8859,34268556388.8994,1417291699.00387,170679856.446148,689904466976.861,564578355270.878,655386250253.077,1.16088059149073,1.16084197017902,970081.999999999,121914183175.82,11662310762.5989
"txtrs",2049,689904466976.861,12000517774.7143,10349599795.2533,50474694022.4984,34822660546.0672,1490407846.20938,175629572.283086,726240580604.768,583407753583.836,689882301691.523,1.18254250605828,1.1825045132733,970081.999999999,125449694487.919,12000517774.7143
"txtrs",2050,726240580604.768,12348532790.181,10649738189.3156,53295238443.766,36237374657.9941,1439735103.80503,180722829.879296,764676257436.352,602637666012.288,726217813376.169,1.20510320141516,1.20506542211612,970081.999999998,129087735628.068,12348532790.181
"txtrs",2051,764676257436.352,12706640241.0963,10958580596.8058,56288749794.5592,37442723002.2312,1499521583.96706,185963791.945795,805502019690.669,622448636629.721,764652739898.544,1.2284969593262,1.22845917703153,970081.999999999,132831279961.282,12706640241.0963
"txtrs",2052,805502019690.669,13075132808.088,11276379434.1131,59214863924.9317,38563707794.0915,1534531557.55917,191356741.912223,848778799764.239,642999470303.218,805477711902.692,1.252725790444,1.25268798669905,970082,136683387080.159,13075132808.088
"txtrs",2053,848778799764.239,13454311659.5226,11603394437.7024,62857151978.777,39800423897.2298,1587678084.25365,196906087.427678,895108649771.33,664212364346.37,848753613133.131,1.27787262828131,1.27783470873561,970081.999999999,140647205305.484,13454311659.5226
"txtrs",2054,895108649771.33,13844486697.6488,11939892876.3958,0,40646379299.9142,1648531243.37252,202616363.96308,878395502438.125,686546464609.487,895082792197.829,1.30378451556148,1.30374685230804,970081.999999999,144725974259.343,13844486697.6488
