"plan","year","mva_boy","er_db_cont","ee_cont","invest_income","benefits","refunds","admin_exp","mva_eoy","aal_boy","ava_boy","fr_mva_boy","fr_ava_boy","n_active_boy","payroll","er_cont_total"
"txtrs",2024,210543258495,NA,NA,5362025632.1058,15258219146,744483839,84717041,215460249525.106,273095060051.155,212520440440,0.770952277407293,0.778192181141293,970082,61388248000,10720587115
"txtrs",2025,215460249525.106,6042699397.98672,5211401843.34,10399198325.6808,15677477712.7356,963154779.759397,88435910.0688,220384480689.549,282904893440.893,220212649852.824,0.761599585304176,0.778398164748722,970082,63168507192,6042699397.98672
"txtrs",2026,220384480689.549,6217937680.52833,5362532496.79686,10903657165.9569,16185794970.4494,1011500764.27193,91000551.4607952,225580311746.649,293061982910.837,227285694053.241,0.752006379335121,0.775555026945927,970082,65000393900.568,6217937680.52833
"txtrs",2027,225580311746.649,6398257873.26365,5518045939.20397,10722871271.0936,16681189556.1189,824524320.326301,93639567.4531582,230620133386.312,303855317428.117,233913052770.204,0.742393826298646,0.769817210210714,970082,66885405323.6844,6398257873.26365
"txtrs",2028,230620133386.312,6583807351.5883,5678069271.44088,11016323965.3705,17397701880.5064,856649456.284361,96355114.9092998,235547627523.012,314882906678.942,240236974105.229,0.732399658713311,0.762940664639436,970082,68825082078.0713,6583807351.5883
"txtrs",2029,235547627523.012,6774737764.78436,5842733280.31267,11402550552.5639,18010535721.0438,952154273.108038,99149413.2416695,240505809713.279,326193046997.394,245591752992.266,0.722111123125484,0.75290308991236,970081.999999999,70821009458.3354,6774737764.78436
"txtrs",2030,240505809713.279,6971205159.96311,6012172545.44173,11367378159.0805,18563689565.355,972520376.7782,102024746.225678,245218330889.406,337957921321.768,250892987728.41,0.711644244859392,0.742379367073738,970082,72874818732.6271,6971205159.96311
"txtrs",2031,245218330889.406,7173370109.60204,6186525549.25954,11748478305.5062,19349167846.2797,1042276451.34906,104983463.866223,249830277092.279,349929738668.944,255890650560.007,0.700764478669812,0.731262943050679,970082,74988188475.8733,7173370109.60204
"txtrs",2032,249830277092.279,7381397842.78049,6365934790.18807,11616193972.9532,20129080700.0003,974854662.996058,108027984.318343,253981840350.886,362279882785.488,260750108648.916,0.689605713602948,0.719747689670393,970082,77162845941.6736,7381397842.78049
"txtrs",2033,253981840350.886,7595458380.22113,6550546899.10353,12067375557.9532,21185482554.546,988320323.945286,111160795.863575,257910257513.809,374675587367.295,265122805809.263,0.67787133433358,0.707606299284622,970081.999999999,79400568473.9821,7595458380.22113
"txtrs",2034,257910257513.809,7815726673.24754,6740512759.17753,12281818367.0756,21926516908.7059,1074640295.20841,114384458.943619,261632773650.452,387352327737.656,269256110173.286,0.665828598527192,0.695119380709252,970081.999999999,81703184959.7276,7815726673.24754
"txtrs",2035,261632773650.452,8042382746.77172,6935987629.19367,12251006514.4928,22721185853.2139,1091411101.29184,117701608.252984,264931851978.151,400375084465.838,273169437505.893,0.653469168790836,0.682283808619968,970082,84072577323.5597,8042382746.77172
"txtrs",2036,264931851978.151,8275611846.4281,7137131270.44029,12547625869.2528,23679065407.4568,1159364118.41459,121114954.89232,267932676483.509,413556715072.992,276645370883.993,0.640617942647578,0.668941793957246,970082,86510682065.9429,8275611846.4281
"txtrs",2037,267932676483.509,8515604589.97451,7344108077.28306,12492125220.3134,24647347344.6548,1086583863.92775,124627288.584197,270425955873.913,427051175522.553,279808545681.118,0.62740180062883,0.655210807788401,970081.999999999,89019491845.8552,8515604589.97451
"txtrs",2038,270425955873.913,8762557123.08377,7557087211.52427,12916273808.0841,25679144333.8314,1152842908.12458,128241479.953139,272701645294.696,440682008778.397,282448304995.45,0.613653270355996,0.640934504629354,970082,91601057109.385,8762557123.08377
"txtrs",2039,272701645294.696,9016671279.6532,7776242740.65847,12904894869.8201,26407660623.2138,1227882945.70218,131960482.87178,274631950133.04,454755890582.271,284854013657.845,0.59966599870873,0.626388837521417,970081.999999999,94257487765.5572,9016671279.6532
"txtrs",2040,274631950133.04,9278154746.76315,8001753780.13757,12985728456.5497,27353919782.0016,1212894552.28519,135787336.875062,276194985445.328,469194410847.942,286898970642.628,0.585326559275753,0.611471415706202,970081.999999999,96990954910.7584,9278154746.76315
"txtrs",2041,276194985445.328,9547221234.41928,8233804639.76156,13197089768.8595,28234546445.6921,1282054992.00237,139725169.644439,277516774481.03,484016549509.363,288561203064.279,0.570631284664339,0.596180447459466,970081.999999999,99803692603.1703,9547221234.41928
"txtrs",2042,277516774481.03,9824090650.21744,8472584974.31464,13173709529.0165,29122019447.5971,1217880283.21301,143777199.564127,278503482704.204,499382267877.485,289967501101.779,0.555720121302172,0.580652377454695,970081.999999998,102697999688.662,9824090650.21744
"txtrs",2043,278503482704.204,10108989279.0737,8718289938.56976,13557330586.9432,29973135833.7683,1284700041.57287,147946738.351487,279482309895.098,515242766147.639,291024644964.016,0.54052866144345,0.564830142381125,970081.999999999,105676241679.633,10108989279.0737
"txtrs",2044,279482309895.098,10402149968.1669,8971120346.78828,13173124612.724,30498924054.4837,1356449994.08296,152237193.76368,280021093580.447,531965440548.325,292062124281.601,0.525376816973337,0.549024620810999,970081.999999999,108740852688.343,10402149968.1669
"txtrs",2045,280021093580.447,10703812317.2437,9231282836.84514,13286813014.4524,31574920094.0462,1315064280.54687,156652072.382827,280196365302.012,549177643637.971,292648698560.545,0.509891647674286,0.532885309427244,970081.999999999,111894337416.305,10703812317.2437
"txtrs",2046,280196365302.012,11014222874.4438,9498990039.11365,13412879116.5563,32464040632.9845,1380559894.84389,161194982.481929,280116661821.815,567018835465.036,292858683726.283,0.494157068119635,0.516488457541446,970081.999999999,115139273201.378,11014222874.4438
"txtrs",2047,280116661821.815,11333635337.8026,9774460750.24794,13270404381.4704,33341361884.7176,1350829865.40467,165869636.973905,279637100904.24,585650216327.806,292800047070.896,0.478300278924555,0.499957208087168,970081.999999999,118478312124.218,11333635337.8026
"txtrs",2048,279637100904.24,11662310762.5989,10057920112.0051,13630418394.5626,34268556388.8994,1417291699.00387,170679856.446148,279131222229.058,604985244939.806,292327006285.695,0.462221357038324,0.483196918818706,970081.999999999,121914183175.82,11662310762.5989
"txtrs",2049,279131222229.058,12000517774.7143,10349599795.2533,12868621881.668,34822660546.0672,1490407846.20938,175629572.283086,277861263716.134,625457155794.86,291814692742.308,0.446283521809459,0.466562241775708,970081.999999999,125449694487.919,12000517774.7143
"txtrs",2050,277861263716.134,12348532790.181,10649738189.3156,12907777596.0378,36237374657.9941,1439735103.80503,180722829.879296,275909479699.99,646400130222.066,290523857498.668,0.429859541675334,0.449448946427132,970081.999999998,129087735628.068,12348532790.181
"txtrs",2051,275909479699.99,12706640241.0963,10958580596.8058,12926785472.3776,37442723002.2312,1499521583.96706,185963791.945795,273373277632.125,667999634274.141,288850658277.946,0.413038369399404,0.432411401829308,970081.999999999,132831279961.282,12706640241.0963
"txtrs",2052,273373277632.125,13075132808.088,11276379434.1131,12671302773.1666,38563707794.0915,1534531557.55917,191356741.912223,270106496553.93,690417916529.325,286508314178.764,0.395953336504288,0.414978098510273,970082,136683387080.159,13075132808.088
"txtrs",2053,270106496553.93,13454311659.5226,11603394437.7024,12906747012.6242,39800423897.2298,1587678084.25365,196906087.427678,266485941594.868,713580732322.672,283149848950.224,0.378522687509717,0.39680142151342,970081.999999999,140647205305.484,13454311659.5226
"txtrs",2054,266485941594.868,13844486697.6488,11939892876.3958,0,40646379299.9142,1648531243.37252,202616363.96308,249772794261.663,737950195005.168,279244875336.457,0.361116432245135,0.378406127170278,970081.999999999,144725974259.343,13844486697.6488
